product;date;irca
XULF;01/06/2023 15:15:45;-0,000136
AK10F_BBJ;01/06/2023 15:15:45;0,000000
AC10F_BBJ;01/06/2023 15:15:45;0,000000
KJ10F_BBJ;01/06/2023 15:15:45;0,000122
EN10F_BBJ;01/06/2023 15:15:45;0,000024
EN1010_BBJ;01/06/2023 15:15:45;0,000024
GK10F_BBJ;01/06/2023 15:15:45;-0,000128
GN10F_BBJ;01/06/2023 15:15:45;0,000024
GN1010_BBJ;01/06/2023 15:15:45;0,000024
NC10F_BBJ;01/06/2023 15:15:45;-0,000024
NC1010_BBJ;01/06/2023 15:15:45;-0,000024
NPALLHF_BBJ;01/06/2023 15:15:45;-0,000139
NPALLH10_BBJ;01/06/2023 15:15:46;-0,000139
NPALLH12_BBJ;01/06/2023 15:15:46;-0,000139
NPLATHF_BBJ;01/06/2023 15:15:46;-0,000139
NPLATH10_BBJ;01/06/2023 15:15:46;-0,000139
NPLATH12_BBJ;01/06/2023 15:15:46;-0,000139
